"Lake","Date","Year","Month","DOY","Precip","SW_Inflw","TOTAL_GW_INTO_LAKE","Total_Inputs"
"SP","1975-11-12",1975,11,316,650,0,2370,3020
"SP","1975-11-13",1975,11,317,7770,0,3760,11530
"SP","1975-11-14",1975,11,318,1190,0,554,1744
"SP","1975-11-15",1975,11,319,0,0,352,352
"SP","1975-11-16",1975,11,320,0,0,349,349
"SP","1975-11-17",1975,11,321,0,0,1750,1750
"SP","1975-11-18",1975,11,322,0,0,3310,3310
"SP","1975-11-19",1975,11,323,0,0,3730,3730
"SP","1975-11-20",1975,11,324,351,0,12700,13051
"SP","1975-11-21",1975,11,325,3340,0,4590,7930
"SP","1975-11-22",1975,11,326,15100,0,405,15505
"SP","1975-11-23",1975,11,327,0,0,321,321
"SP","1975-11-24",1975,11,328,0,0,321,321
"SP","1975-11-25",1975,11,329,132,0,324,456
"SP","1975-11-26",1975,11,330,0,0,326,326
"SP","1975-11-27",1975,11,331,0,0,328,328
"SP","1975-11-28",1975,11,332,0,0,330,330
"SP","1975-11-29",1975,11,333,0,0,333,333
"SP","1975-11-30",1975,11,334,4090,0,331,4421
"SP","1975-12-01",1975,12,335,17500,0,317,17817
"SP","1975-12-02",1975,12,336,508,0,312,820
"SP","1975-12-03",1975,12,337,0,0,314,314
"SP","1975-12-04",1975,12,338,0,0,315,315
"SP","1975-12-05",1975,12,339,672,0,315,987
"SP","1975-12-06",1975,12,340,0,0,316,316
"SP","1975-12-07",1975,12,341,327,0,316,643
"SP","1975-12-08",1975,12,342,0,0,316,316
"SP","1975-12-09",1975,12,343,0,0,317,317
"SP","1975-12-10",1975,12,344,0,0,317,317
"SP","1975-12-11",1975,12,345,958,0,317,1275
"SP","1975-12-12",1975,12,346,492,0,316,808
"SP","1975-12-13",1975,12,347,0,0,316,316
"SP","1975-12-14",1975,12,348,0,0,316,316
"SP","1975-12-15",1975,12,349,9150,0,309,9459
"SP","1975-12-16",1975,12,350,3720,0,303,4023
"SP","1975-12-17",1975,12,351,0,0,303,303
"SP","1975-12-18",1975,12,352,0,0,303,303
"SP","1975-12-19",1975,12,353,0,0,303,303
"SP","1975-12-20",1975,12,354,0,0,303,303
"SP","1975-12-21",1975,12,355,2680,0,301,2981
"SP","1975-12-22",1975,12,356,65.5,0,300,365.5
"SP","1975-12-23",1975,12,357,0,0,300,300
"SP","1975-12-24",1975,12,358,49.3,0,300,349.3
"SP","1975-12-25",1975,12,359,0,0,300,300
"SP","1975-12-26",1975,12,360,173,0,300,473
"SP","1975-12-27",1975,12,361,65.5,0,299,364.5
"SP","1975-12-28",1975,12,362,0,0,299,299
"SP","1975-12-29",1975,12,363,0,0,299,299
"SP","1975-12-30",1975,12,364,0,0,299,299
"SP","1975-12-31",1975,12,365,0,0,299,299
"SP","1976-01-01",1976,1,1,0,0,299,299
"SP","1976-01-02",1976,1,2,0,0,299,299
"SP","1976-01-03",1976,1,3,5880,0,294,6174
"SP","1976-01-04",1976,1,4,1440,0,291,1731
"SP","1976-01-05",1976,1,5,82.4,0,291,373.4
"SP","1976-01-06",1976,1,6,0,0,291,291
"SP","1976-01-07",1976,1,7,2320,0,289,2609
"SP","1976-01-08",1976,1,8,2260,0,286,2546
"SP","1976-01-09",1976,1,9,0,0,285,285
"SP","1976-01-10",1976,1,10,0,0,285,285
"SP","1976-01-11",1976,1,11,0,0,285,285
"SP","1976-01-12",1976,1,12,6490,0,279,6769
"SP","1976-01-13",1976,1,13,41.2,0,277,318.2
"SP","1976-01-14",1976,1,14,0,0,278,278
"SP","1976-01-15",1976,1,15,0,0,278,278
"SP","1976-01-16",1976,1,16,601,0,277,878
"SP","1976-01-17",1976,1,17,1440,0,275,1715
"SP","1976-01-18",1976,1,18,0,0,275,275
"SP","1976-01-19",1976,1,19,0,0,274,274
"SP","1976-01-20",1976,1,20,3950,0,271,4221
"SP","1976-01-21",1976,1,21,2710,0,267,2977
"SP","1976-01-22",1976,1,22,1540,0,265,1805
"SP","1976-01-23",1976,1,23,328,0,264,592
"SP","1976-01-24",1976,1,24,1850,0,263,2113
"SP","1976-01-25",1976,1,25,3480,0,259,3739
"SP","1976-01-26",1976,1,26,1980,0,257,2237
"SP","1976-01-27",1976,1,27,930,0,256,1186
"SP","1976-01-28",1976,1,28,0,0,256,256
"SP","1976-01-29",1976,1,29,410,0,255,665
"SP","1976-01-30",1976,1,30,3570,0,252,3822
"SP","1976-01-31",1976,1,31,4730,0,247,4977
"SP","1976-02-01",1976,2,32,41.2,0,246,287.2
"SP","1976-02-02",1976,2,33,1530,0,245,1775
"SP","1976-02-03",1976,2,34,0,0,244,244
"SP","1976-02-04",1976,2,35,65.6,0,244,309.6
"SP","1976-02-05",1976,2,36,1320,0,243,1563
"SP","1976-02-06",1976,2,37,0,0,243,243
"SP","1976-02-07",1976,2,38,0,0,242,242
"SP","1976-02-08",1976,2,39,0,0,242,242
"SP","1976-02-09",1976,2,40,0,0,242,242
"SP","1976-02-10",1976,2,41,0,0,242,242
"SP","1976-02-11",1976,2,42,469,0,242,711
"SP","1976-02-12",1976,2,43,148,0,241,389
"SP","1976-02-13",1976,2,44,0,0,241,241
"SP","1976-02-14",1976,2,45,0,0,241,241
"SP","1976-02-15",1976,2,46,0,0,241,241
"SP","1976-02-16",1976,2,47,9330,0,234,9564
"SP","1976-02-17",1976,2,48,181,0,231,412
"SP","1976-02-18",1976,2,49,0,0,232,232
"SP","1976-02-19",1976,2,50,683,0,231,914
"SP","1976-02-20",1976,2,51,2070,0,230,2300
"SP","1976-02-21",1976,2,52,406,0,229,635
"SP","1976-02-22",1976,2,53,0,0,229,229
"SP","1976-02-23",1976,2,54,108,0,229,337
"SP","1976-02-24",1976,2,55,0,0,229,229
"SP","1976-02-25",1976,2,56,0,0,229,229
"SP","1976-02-26",1976,2,57,0,0,229,229
"SP","1976-02-27",1976,2,58,0,0,230,230
"SP","1976-02-28",1976,2,59,0,0,230,230
"SP","1976-02-29",1976,2,60,0,0,230,230
"SP","1976-03-01",1976,3,61,427,0,230,657
"SP","1976-03-02",1976,3,62,3180,0,227,3407
"SP","1976-03-03",1976,3,63,6870,0,221,7091
"SP","1976-03-04",1976,3,64,1160,0,218,1378
"SP","1976-03-05",1976,3,65,928,0,218,1146
"SP","1976-03-06",1976,3,66,6150,0,213,6363
"SP","1976-03-07",1976,3,67,0,0,212,212
"SP","1976-03-08",1976,3,68,482,0,211,693
"SP","1976-03-09",1976,3,69,0,0,211,211
"SP","1976-03-10",1976,3,70,0,0,211,211
"SP","1976-03-11",1976,3,71,136,0,212,348
"SP","1976-03-12",1976,3,72,0,0,212,212
"SP","1976-03-13",1976,3,73,9460,0,205,9665
"SP","1976-03-14",1976,3,74,4850,0,200,5050
"SP","1976-03-15",1976,3,75,0,0,199,199
"SP","1976-03-16",1976,3,76,0,0,199,199
"SP","1976-03-17",1976,3,77,331,0,199,530
"SP","1976-03-18",1976,3,78,121,0,199,320
"SP","1976-03-19",1976,3,79,1320,0,199,1519
"SP","1976-03-20",1976,3,80,0,0,199,199
"SP","1976-03-21",1976,3,81,0,0,200,200
"SP","1976-03-22",1976,3,82,0,0,201,201
"SP","1976-03-23",1976,3,83,0,0,201,201
"SP","1976-03-24",1976,3,84,0,0,202,202
"SP","1976-03-25",1976,3,85,0,0,202,202
"SP","1976-03-26",1976,3,86,423,0,203,626
"SP","1976-03-27",1976,3,87,215,0,203,418
"SP","1976-03-28",1976,3,88,680,0,203,883
"SP","1976-03-29",1976,3,89,0,0,204,204
"SP","1976-03-30",1976,3,90,1190,0,3540,4730
"SP","1976-03-31",1976,3,91,10300,0,11700,22000
"SP","1976-04-01",1976,4,92,4030,0,2860,6890
"SP","1976-04-02",1976,4,93,1430,0,1920,3350
"SP","1976-04-03",1976,4,94,0,0,1910,1910
"SP","1976-04-04",1976,4,95,0,0,3970,3970
"SP","1976-04-05",1976,4,96,0,0,1460,1460
"SP","1976-04-06",1976,4,97,0,0,2810,2810
"SP","1976-04-07",1976,4,98,0,0,4040,4040
"SP","1976-04-08",1976,4,99,0,0,3580,3580
"SP","1976-04-09",1976,4,100,0,0,2510,2510
"SP","1976-04-10",1976,4,101,0,0,3560,3560
"SP","1976-04-11",1976,4,102,2310,0,17700,20010
"SP","1976-04-12",1976,4,103,332,0,6150,6482
"SP","1976-04-13",1976,4,104,0,0,2180,2180
"SP","1976-04-14",1976,4,105,0,0,4710,4710
"SP","1976-04-15",1976,4,106,389,0,19700,20089
"SP","1976-04-16",1976,4,107,100,0,10200,10300
"SP","1976-04-17",1976,4,108,292,0,191,483
"SP","1976-04-18",1976,4,109,0,0,190,190
"SP","1976-04-19",1976,4,110,2900,0,237,3137
"SP","1976-04-20",1976,4,111,5400,0,289,5689
"SP","1976-04-21",1976,4,112,0,0,210,210
"SP","1976-04-22",1976,4,113,3900,0,424,4324
"SP","1976-04-23",1976,4,114,5630,0,2970,8600
"SP","1976-04-24",1976,4,115,0,0,213,213
"SP","1976-04-25",1976,4,116,0,0,217,217
"SP","1976-04-26",1976,4,117,0,0,220,220
"SP","1976-04-27",1976,4,118,0,0,223,223
"SP","1976-04-28",1976,4,119,0,0,225,225
"SP","1976-04-29",1976,4,120,0,0,228,228
"SP","1976-04-30",1976,4,121,0,0,230,230
"SP","1976-05-01",1976,5,122,1260,0,244,1504
"SP","1976-05-02",1976,5,123,4390,0,298,4688
"SP","1976-05-03",1976,5,124,10100,0,3000,13100
"SP","1976-05-04",1976,5,125,2810,0,1420,4230
"SP","1976-05-05",1976,5,126,0,0,219,219
"SP","1976-05-06",1976,5,127,0,0,222,222
"SP","1976-05-07",1976,5,128,631,0,229,860
"SP","1976-05-08",1976,5,129,0,0,225,225
"SP","1976-05-09",1976,5,130,0,0,227,227
"SP","1976-05-10",1976,5,131,0,0,229,229
"SP","1976-05-11",1976,5,132,0,0,232,232
"SP","1976-05-12",1976,5,133,0,0,234,234
"SP","1976-05-13",1976,5,134,0,0,237,237
"SP","1976-05-14",1976,5,135,146,0,239,385
"SP","1976-05-15",1976,5,136,258,0,241,499
"SP","1976-05-16",1976,5,137,0,0,243,243
"SP","1976-05-17",1976,5,138,4930,0,299,5229
"SP","1976-05-18",1976,5,139,4270,0,306,4576
"SP","1976-05-19",1976,5,140,0,0,239,239
"SP","1976-05-20",1976,5,141,0,0,241,241
"SP","1976-05-21",1976,5,142,97.3,0,244,341.3
"SP","1976-05-22",1976,5,143,0,0,246,246
"SP","1976-05-23",1976,5,144,0,0,247,247
"SP","1976-05-24",1976,5,145,0,0,249,249
"SP","1976-05-25",1976,5,146,0,0,250,250
"SP","1976-05-26",1976,5,147,0,0,251,251
"SP","1976-05-27",1976,5,148,0,0,253,253
"SP","1976-05-28",1976,5,149,0,0,256,256
"SP","1976-05-29",1976,5,150,0,0,257,257
"SP","1976-05-30",1976,5,151,5540,0,317,5857
"SP","1976-05-31",1976,5,152,11700,0,423,12123
"SP","1976-06-01",1976,6,153,1550,0,263,1813
"SP","1976-06-02",1976,6,154,0,0,243,243
"SP","1976-06-03",1976,6,155,0,0,245,245
"SP","1976-06-04",1976,6,156,0,0,246,246
"SP","1976-06-05",1976,6,157,0,0,248,248
"SP","1976-06-06",1976,6,158,0,0,250,250
"SP","1976-06-07",1976,6,159,0,0,252,252
"SP","1976-06-08",1976,6,160,0,0,254,254
"SP","1976-06-09",1976,6,161,1490,0,264,1754
"SP","1976-06-10",1976,6,162,3480,0,308,3788
"SP","1976-06-11",1976,6,163,0,0,253,253
"SP","1976-06-12",1976,6,164,2940,0,284,3224
"SP","1976-06-13",1976,6,165,0,0,253,253
"SP","1976-06-14",1976,6,166,14500,0,450,14950
"SP","1976-06-15",1976,6,167,766,0,251,1017
"SP","1976-06-16",1976,6,168,17900,0,469,18369
"SP","1976-06-17",1976,6,169,1930,0,254,2184
"SP","1976-06-18",1976,6,170,0,0,225,225
"SP","1976-06-19",1976,6,171,8840,0,329,9169
"SP","1976-06-20",1976,6,172,5030,0,295,5325
"SP","1976-06-21",1976,6,173,0,0,216,216
"SP","1976-06-22",1976,6,174,0,0,218,218
"SP","1976-06-23",1976,6,175,0,0,219,219
"SP","1976-06-24",1976,6,176,0,0,221,221
"SP","1976-06-25",1976,6,177,0,0,222,222
"SP","1976-06-26",1976,6,178,2850,0,251,3101
"SP","1976-06-27",1976,6,179,0,0,222,222
"SP","1976-06-28",1976,6,180,261,0,223,484
"SP","1976-06-29",1976,6,181,0,0,224,224
"SP","1976-06-30",1976,6,182,10400,0,346,10746
"SP","1976-07-01",1976,7,183,1650,0,241,1891
"SP","1976-07-02",1976,7,184,0,0,216,216
"SP","1976-07-03",1976,7,185,0,0,218,218
"SP","1976-07-04",1976,7,186,0,0,220,220
"SP","1976-07-05",1976,7,187,0,0,223,223
"SP","1976-07-06",1976,7,188,0,0,226,226
"SP","1976-07-07",1976,7,189,0,0,229,229
"SP","1976-07-08",1976,7,190,3010,0,263,3273
"SP","1976-07-09",1976,7,191,0,0,230,230
"SP","1976-07-10",1976,7,192,0,0,231,231
"SP","1976-07-11",1976,7,193,0,0,233,233
"SP","1976-07-12",1976,7,194,0,0,235,235
"SP","1976-07-13",1976,7,195,0,0,237,237
"SP","1976-07-14",1976,7,196,0,0,239,239
"SP","1976-07-15",1976,7,197,0,0,240,240
"SP","1976-07-16",1976,7,198,179,0,242,421
"SP","1976-07-17",1976,7,199,910,0,248,1158
"SP","1976-07-18",1976,7,200,0,0,243,243
"SP","1976-07-19",1976,7,201,0,0,245,245
"SP","1976-07-20",1976,7,202,0,0,247,247
"SP","1976-07-21",1976,7,203,11000,0,393,11393
"SP","1976-07-22",1976,7,204,0,0,238,238
"SP","1976-07-23",1976,7,205,0,0,241,241
"SP","1976-07-24",1976,7,206,0,0,242,242
"SP","1976-07-25",1976,7,207,0,0,244,244
"SP","1976-07-26",1976,7,208,0,0,245,245
"SP","1976-07-27",1976,7,209,61.5,0,247,308.5
"SP","1976-07-28",1976,7,210,0,0,248,248
"SP","1976-07-29",1976,7,211,1120,0,253,1373
"SP","1976-07-30",1976,7,212,92.3,0,250,342.3
"SP","1976-07-31",1976,7,213,583,0,257,840
"SP","1976-08-01",1976,8,214,5560,0,334,5894
"SP","1976-08-02",1976,8,215,0,0,246,246
"SP","1976-08-03",1976,8,216,0,0,248,248
"SP","1976-08-04",1976,8,217,0,0,250,250
"SP","1976-08-05",1976,8,218,5870,0,313,6183
"SP","1976-08-06",1976,8,219,54900,0,17400,72300
"SP","1976-08-07",1976,8,220,0,0,200,200
"SP","1976-08-08",1976,8,221,0,0,183,183
"SP","1976-08-09",1976,8,222,0,0,187,187
"SP","1976-08-10",1976,8,223,0,0,191,191
"SP","1976-08-11",1976,8,224,2260,0,213,2473
"SP","1976-08-12",1976,8,225,4220,0,255,4475
"SP","1976-08-13",1976,8,226,0,0,194,194
"SP","1976-08-14",1976,8,227,1150,0,200,1350
"SP","1976-08-15",1976,8,228,0,0,197,197
"SP","1976-08-16",1976,8,229,0,0,198,198
"SP","1976-08-17",1976,8,230,0,0,201,201
"SP","1976-08-18",1976,8,231,0,0,203,203
"SP","1976-08-19",1976,8,232,0,0,207,207
"SP","1976-08-20",1976,8,233,0,0,209,209
"SP","1976-08-21",1976,8,234,0,0,211,211
"SP","1976-08-22",1976,8,235,0,0,213,213
"SP","1976-08-23",1976,8,236,0,0,215,215
"SP","1976-08-24",1976,8,237,0,0,218,218
"SP","1976-08-25",1976,8,238,0,0,221,221
"SP","1976-08-26",1976,8,239,0,0,224,224
"SP","1976-08-27",1976,8,240,337,0,226,563
"SP","1976-08-28",1976,8,241,92.5,0,228,320.5
"SP","1976-08-29",1976,8,242,0,0,230,230
"SP","1976-08-30",1976,8,243,0,0,232,232
"SP","1976-08-31",1976,8,244,1890,0,246,2136
"SP","1976-09-01",1976,9,245,0,0,233,233
"SP","1976-09-02",1976,9,246,2640,0,264,2904
"SP","1976-09-03",1976,9,247,0,0,234,234
"SP","1976-09-04",1976,9,248,0,0,236,236
"SP","1976-09-05",1976,9,249,0,0,238,238
"SP","1976-09-06",1976,9,250,0,0,240,240
"SP","1976-09-07",1976,9,251,338,0,242,580
"SP","1976-09-08",1976,9,252,0,0,243,243
"SP","1976-09-09",1976,9,253,0,0,246,246
"SP","1976-09-10",1976,9,254,29,0,248,277
"SP","1976-09-11",1976,9,255,0,0,250,250
"SP","1976-09-12",1976,9,256,0,0,251,251
"SP","1976-09-13",1976,9,257,0,0,253,253
"SP","1976-09-14",1976,9,258,0,0,255,255
"SP","1976-09-15",1976,9,259,3800,0,296,4096
"SP","1976-09-16",1976,9,260,0,0,254,254
"SP","1976-09-17",1976,9,261,0,0,256,256
"SP","1976-09-18",1976,9,262,0,0,257,257
"SP","1976-09-19",1976,9,263,0,0,259,259
"SP","1976-09-20",1976,9,264,0,0,260,260
"SP","1976-09-21",1976,9,265,693,0,263,956
"SP","1976-09-22",1976,9,266,0,0,262,262
"SP","1976-09-23",1976,9,267,807,0,267,1074
"SP","1976-09-24",1976,9,268,0,0,262,262
"SP","1976-09-25",1976,9,269,0,0,263,263
"SP","1976-09-26",1976,9,270,0,0,264,264
"SP","1976-09-27",1976,9,271,42.3,0,265,307.3
"SP","1976-09-28",1976,9,272,847,0,268,1115
"SP","1976-09-29",1976,9,273,0,0,265,265
"SP","1976-09-30",1976,9,274,0,0,266,266
"SP","1976-10-01",1976,10,275,0,0,267,267
"SP","1976-10-02",1976,10,276,0,0,269,269
"SP","1976-10-03",1976,10,277,0,0,272,272
"SP","1976-10-04",1976,10,278,0,0,274,274
"SP","1976-10-05",1976,10,279,1190,0,288,1478
"SP","1976-10-06",1976,10,280,1720,0,301,2021
"SP","1976-10-07",1976,10,281,0,0,274,274
"SP","1976-10-08",1976,10,282,0,0,275,275
"SP","1976-10-09",1976,10,283,0,0,276,276
"SP","1976-10-10",1976,10,284,1570,0,294,1864
"SP","1976-10-11",1976,10,285,0,0,276,276
"SP","1976-10-12",1976,10,286,0,0,278,278
"SP","1976-10-13",1976,10,287,0,0,280,280
"SP","1976-10-14",1976,10,288,106,0,282,388
"SP","1976-10-15",1976,10,289,0,0,283,283
"SP","1976-10-16",1976,10,290,515,0,287,802
"SP","1976-10-17",1976,10,291,1580,0,304,1884
"SP","1976-10-18",1976,10,292,804,0,293,1097
"SP","1976-10-19",1976,10,293,0,0,280,280
"SP","1976-10-20",1976,10,294,602,0,280,882
"SP","1976-10-21",1976,10,295,0,0,280,280
"SP","1976-10-22",1976,10,296,123,0,281,404
"SP","1976-10-23",1976,10,297,0,0,281,281
"SP","1976-10-24",1976,10,298,0,0,281,281
"SP","1976-10-25",1976,10,299,0,0,281,281
"SP","1976-10-26",1976,10,300,0,0,281,281
"SP","1976-10-27",1976,10,301,0,0,281,281
"SP","1976-10-28",1976,10,302,0,0,281,281
"SP","1976-10-29",1976,10,303,0,0,281,281
"SP","1976-10-30",1976,10,304,0,0,282,282
"SP","1976-10-31",1976,10,305,0,0,283,283
"SP","1976-11-01",1976,11,306,0,0,283,283
"SP","1976-11-02",1976,11,307,0,0,284,284
"SP","1976-11-03",1976,11,308,545,0,287,832
"SP","1976-11-04",1976,11,309,0,0,285,285
"SP","1976-11-05",1976,11,310,878,0,285,1163
"SP","1976-11-06",1976,11,311,0,0,285,285
"SP","1976-11-07",1976,11,312,0,0,285,285
"SP","1976-11-08",1976,11,313,128,0,285,413
"SP","1976-11-09",1976,11,314,117,0,284,401
"SP","1976-11-10",1976,11,315,0,0,284,284
"SP","1976-11-11",1976,11,316,1620,0,283,1903
"SP","1976-11-12",1976,11,317,248,0,282,530
"SP","1976-11-13",1976,11,318,161,0,282,443
"SP","1976-11-14",1976,11,319,0,0,281,281
"SP","1976-11-15",1976,11,320,0,0,281,281
"SP","1976-11-16",1976,11,321,0,0,281,281
"SP","1976-11-17",1976,11,322,0,0,281,281
"SP","1976-11-18",1976,11,323,0,0,281,281
"SP","1976-11-19",1976,11,324,0,0,282,282
"SP","1976-11-20",1976,11,325,0,0,282,282
"SP","1976-11-21",1976,11,326,0,0,282,282
"SP","1976-11-22",1976,11,327,822,0,282,1104
"SP","1976-11-23",1976,11,328,87.9,0,281,368.9
"SP","1976-11-24",1976,11,329,0,0,280,280
"SP","1976-11-25",1976,11,330,0,0,280,280
"SP","1976-11-26",1976,11,331,1150,0,279,1429
"SP","1976-11-27",1976,11,332,7170,0,272,7442
"SP","1976-11-28",1976,11,333,554,0,269,823
"SP","1976-11-29",1976,11,334,44,0,269,313
"SP","1976-11-30",1976,11,335,0,0,268,268
"SP","1976-12-01",1976,12,336,0,0,267,267
"SP","1976-12-02",1976,12,337,0,0,267,267
"SP","1976-12-03",1976,12,338,74,0,266,340
"SP","1976-12-04",1976,12,339,252,0,265,517
"SP","1976-12-05",1976,12,340,213,0,264,477
"SP","1976-12-06",1976,12,341,0,0,264,264
"SP","1976-12-07",1976,12,342,897,0,262,1159
"SP","1976-12-08",1976,12,343,0,0,261,261
"SP","1976-12-09",1976,12,344,0,0,261,261
"SP","1976-12-10",1976,12,345,126,0,260,386
"SP","1976-12-11",1976,12,346,148,0,259,407
"SP","1976-12-12",1976,12,347,0,0,259,259
"SP","1976-12-13",1976,12,348,0,0,258,258
"SP","1976-12-14",1976,12,349,74,0,258,332
"SP","1976-12-15",1976,12,350,0,0,257,257
"SP","1976-12-16",1976,12,351,0,0,257,257
"SP","1976-12-17",1976,12,352,0,0,256,256
"SP","1976-12-18",1976,12,353,0,0,256,256
"SP","1976-12-19",1976,12,354,0,0,255,255
"SP","1976-12-20",1976,12,355,0,0,255,255
"SP","1976-12-21",1976,12,356,1390,0,253,1643
"SP","1976-12-22",1976,12,357,115,0,252,367
"SP","1976-12-23",1976,12,358,133,0,252,385
"SP","1976-12-24",1976,12,359,49.3,0,251,300.3
"SP","1976-12-25",1976,12,360,245,0,250,495
"SP","1976-12-26",1976,12,361,205,0,249,454
"SP","1976-12-27",1976,12,362,49.3,0,249,298.3
"SP","1976-12-28",1976,12,363,897,0,248,1145
"SP","1976-12-29",1976,12,364,213,0,247,460
"SP","1976-12-30",1976,12,365,0,0,246,246
"SP","1976-12-31",1976,12,366,0,0,246,246
"SP","1977-01-01",1977,1,1,0,0,245,245
"SP","1977-01-02",1977,1,2,0,0,244,244
"SP","1977-01-03",1977,1,3,150,0,244,394
"SP","1977-01-04",1977,1,4,1160,0,243,1403
"SP","1977-01-05",1977,1,5,342,0,242,584
"SP","1977-01-06",1977,1,6,0,0,241,241
"SP","1977-01-07",1977,1,7,0,0,240,240
"SP","1977-01-08",1977,1,8,41.2,0,240,281.2
"SP","1977-01-09",1977,1,9,784,0,239,1023
"SP","1977-01-10",1977,1,10,0,0,238,238
"SP","1977-01-11",1977,1,11,124,0,238,362
"SP","1977-01-12",1977,1,12,0,0,237,237
"SP","1977-01-13",1977,1,13,0,0,237,237
"SP","1977-01-14",1977,1,14,924,0,236,1160
"SP","1977-01-15",1977,1,15,503,0,235,738
"SP","1977-01-16",1977,1,16,82.4,0,234,316.4
"SP","1977-01-17",1977,1,17,0,0,233,233
"SP","1977-01-18",1977,1,18,0,0,233,233
"SP","1977-01-19",1977,1,19,120,0,233,353
"SP","1977-01-20",1977,1,20,0,0,232,232
"SP","1977-01-21",1977,1,21,0,0,232,232
"SP","1977-01-22",1977,1,22,0,0,231,231
"SP","1977-01-23",1977,1,23,0,0,231,231
"SP","1977-01-24",1977,1,24,694,0,230,924
"SP","1977-01-25",1977,1,25,725,0,229,954
"SP","1977-01-26",1977,1,26,664,0,228,892
"SP","1977-01-27",1977,1,27,784,0,227,1011
"SP","1977-01-28",1977,1,28,165,0,227,392
"SP","1977-01-29",1977,1,29,424,0,226,650
"SP","1977-01-30",1977,1,30,473,0,225,698
"SP","1977-01-31",1977,1,31,82.4,0,224,306.4
"SP","1977-02-01",1977,2,32,120,0,224,344
"SP","1977-02-02",1977,2,33,0,0,223,223
"SP","1977-02-03",1977,2,34,0,0,223,223
"SP","1977-02-04",1977,2,35,291,0,223,514
"SP","1977-02-05",1977,2,36,0,0,222,222
"SP","1977-02-06",1977,2,37,124,0,222,346
"SP","1977-02-07",1977,2,38,0,0,222,222
"SP","1977-02-08",1977,2,39,0,0,221,221
"SP","1977-02-09",1977,2,40,289,0,221,510
"SP","1977-02-10",1977,2,41,0,0,220,220
"SP","1977-02-11",1977,2,42,0,0,220,220
"SP","1977-02-12",1977,2,43,0,0,220,220
"SP","1977-02-13",1977,2,44,0,0,220,220
"SP","1977-02-14",1977,2,45,663,0,220,883
"SP","1977-02-15",1977,2,46,140,0,220,360
"SP","1977-02-16",1977,2,47,0,0,219,219
"SP","1977-02-17",1977,2,48,0,0,219,219
"SP","1977-02-18",1977,2,49,0,0,218,218
"SP","1977-02-19",1977,2,50,0,0,218,218
"SP","1977-02-20",1977,2,51,0,0,218,218
"SP","1977-02-21",1977,2,52,0,0,218,218
"SP","1977-02-22",1977,2,53,0,0,218,218
"SP","1977-02-23",1977,2,54,0,0,217,217
"SP","1977-02-24",1977,2,55,469,0,217,686
"SP","1977-02-25",1977,2,56,3810,0,214,4024
"SP","1977-02-26",1977,2,57,2320,0,211,2531
"SP","1977-02-27",1977,2,58,24.7,0,210,234.7
"SP","1977-02-28",1977,2,59,131,0,210,341
"SP","1977-03-01",1977,3,60,0,0,210,210
"SP","1977-03-02",1977,3,61,0,0,210,210
"SP","1977-03-03",1977,3,62,0,0,210,210
